name,team,school,address,latitude,longitude
"Wall, John ",Washington Wizards,University of Kentucky,South Limestone Lexington KY 40506,38.0380607,-38.0380607
"Murray, Jamal",Denver Nuggets,University of Kentucky,South Limestone Lexington KY 40506,38.0380607,-38.0380607
"Towns, Karl-Anthony",Minnesota Timberwolves,University of Kentucky,South Limestone Lexington KY 40506,38.0380607,-38.0380607
"Vanderbilt, Jarred",Minnesota Timberwolves,University of Kentucky,South Limestone Lexington KY 40506,38.0380607,-38.0380607
"Diallo, Hamidou",Oklahoma City Thunder,University of Kentucky,South Limestone Lexington KY 40506,38.0380607,-38.0380607
"Gilgeous-Alexander, Shai",Oklahoma City Thunder,University of Kentucky,South Limestone Lexington KY 40506,38.0380607,-38.0380607
"Noel, Nerlens (FA)",Oklahoma City Thunder,University of Kentucky,South Limestone Lexington KY 40506,38.0380607,-38.0380607
"Gabriel, Wenyen (FA)",Portland Trail Blazers,University of Kentucky,South Limestone Lexington KY 40506,38.0380607,-38.0380607
"Mulder, Mychal",Golden State Warriors,University of Kentucky,South Limestone Lexington KY 40506,38.0380607,-38.0380607
"Patterson, Patrick (FA)",Los Angeles Clippers,University of Kentucky,South Limestone Lexington KY 40506,38.0380607,-38.0380607
"Davis, Anthony",Los Angeles Lakers,University of Kentucky,South Limestone Lexington KY 40506,38.0380607,-38.0380607
"Rondo, Rajon",Los Angeles Lakers,University of Kentucky,South Limestone Lexington KY 40506,38.0380607,-38.0380607
"Booker, Devin",Phoenix Suns,University of Kentucky,South Limestone Lexington KY 40506,38.0380607,-38.0380607
"Fox, De''Aaron",Sacramento Kings,University of Kentucky,South Limestone Lexington KY 40506,38.0380607,-38.0380607
"Cauley-Stein, Willie",Dallas Mavericks,University of Kentucky,South Limestone Lexington KY 40506,38.0380607,-38.0380607
"Kidd-Gilchrist, Michael (FA)",Dallas Mavericks,University of Kentucky,South Limestone Lexington KY 40506,38.0380607,-38.0380607
"Miller, Darius ",New Orleans Pelicans,University of Kentucky,South Limestone Lexington KY 40506,38.0380607,-38.0380607
"Johnson, Keldon",San Antonio Spurs,University of Kentucky,South Limestone Lexington KY 40506,38.0380607,-38.0380607
"Lyles, Trey ",San Antonio Spurs,University of Kentucky,South Limestone Lexington KY 40506,38.0380607,-38.0380607
"Johnson, B. J. (TW, FA)",Orlando Magic,La Salle University,1900 W Olney Ave Philadelphia PA 19141,40.0377071,-40.0377071
"McCollum, CJ",Portland Trail Blazers,Lehigh University,27 Memorial Drive West Bethlehem PA 18015,40.6068348,-40.6068348
"Mathews, Garrison (TW, FA)",Washington Wizards,Lipscomb University,One University Park Drive Nashville TN 37204,36.105632,-36.105632
"Tucker, Rayjon",Utah Jazz,University of Arkansas at Little Rock,2801 S University Ave Little Rock AR 72204,34.7257004,-34.7257004
"Ennis, James",Orlando Magic,California State University-Long Beach,1250 Bellflower Blvd Long Beach CA 90840,33.7826983,-33.7826983
"Payton, Elfrid",New York Knicks,University of Louisiana at Lafayette,104 University Circle Lafayette LA 70503,30.2324598,-30.2324598
"Millsap, Paul (FA)",Denver Nuggets,Louisiana Tech University,1310 West Railroad Avenue Ruston LA 71272,32.5281991,-32.5281991
"Rozier, Terry",Charlotte Hornets,University of Louisville,2301 S 3rd St Louisville KY 40292,38.2157954,-38.2157954
"Spalding, Ray (TW)",Charlotte Hornets,University of Louisville,2301 S 3rd St Louisville KY 40292,38.2157954,-38.2157954
"Mitchell, Donovan",Utah Jazz,University of Louisville,2301 S 3rd St Louisville KY 40292,38.2157954,-38.2157954
"Lee, Damion",Golden State Warriors,University of Louisville,2301 S 3rd St Louisville KY 40292,38.2157954,-38.2157954
"Harrell, Montrezl (FA)",Los Angeles Clippers,University of Louisville,2301 S 3rd St Louisville KY 40292,38.2157954,-38.2157954
"Dieng, Gorgui",Memphis Grizzlies,University of Louisville,2301 S 3rd St Louisville KY 40292,38.2157954,-38.2157954
"Waters, Tremont (TW, FA)",Boston Celtics,Louisiana State University and Agricultural & Mechanical College,156 Thomas Boyd Hall Baton Rouge LA 70803,30.4150707,-30.4150707
"Temple, Garrett",Brooklyn Nets,Louisiana State University and Agricultural & Mechanical College,156 Thomas Boyd Hall Baton Rouge LA 70803,30.4150707,-30.4150707
"Simmons, Ben",Philadelphia 76ers,Louisiana State University and Agricultural & Mechanical College,156 Thomas Boyd Hall Baton Rouge LA 70803,30.4150707,-30.4150707
"Reid, Naz",Minnesota Timberwolves,Louisiana State University and Agricultural & Mechanical College,156 Thomas Boyd Hall Baton Rouge LA 70803,30.4150707,-30.4150707
"Gray, Josh (TW)",New Orleans Pelicans,Louisiana State University and Agricultural & Mechanical College,156 Thomas Boyd Hall Baton Rouge LA 70803,30.4150707,-30.4150707
"Matthews, Wesley",Milwaukee Bucks,Marquette University,1250 W Wisconsin Ave Milwaukee WI 53233,43.0389659,-43.0389659
"Butler, Jimmy (C)",Miami Heat,Marquette University,1250 W Wisconsin Ave Milwaukee WI 53233,43.0389659,-43.0389659
"Crowder, Jae",Miami Heat,Marquette University,1250 W Wisconsin Ave Milwaukee WI 53233,43.0389659,-43.0389659
"Toscano-Anderson, Juan",Golden State Warriors,Marquette University,1250 W Wisconsin Ave Milwaukee WI 53233,43.0389659,-43.0389659
"Whiteside, Hassan (FA)",Portland Trail Blazers,Marshall University,1 John Marshall Dr Huntington WV 25755,38.4223904,-38.4223904
"Fernando, Bruno",Atlanta Hawks,University of Maryland-College Park,Main Administration Building College Park MD 20742,38.9859963,-38.9859963
"Huerter, Kevin",Atlanta Hawks,University of Maryland-College Park,Main Administration Building College Park MD 20742,38.9859963,-38.9859963
"Layman, Jake",Minnesota Timberwolves,University of Maryland-College Park,Main Administration Building College Park MD 20742,38.9859963,-38.9859963
"Len, Alex",Sacramento Kings,University of Maryland-College Park,Main Administration Building College Park MD 20742,38.9859963,-38.9859963
"Martin, Jeremiah (TW)",Brooklyn Nets,University of Memphis,Southern Avenue Memphis TN 38152,35.1158539,-35.1158539
"Rose, Derrick ",Detroit Pistons,University of Memphis,Southern Avenue Memphis TN 38152,35.1158539,-35.1158539
"Barton, Will",Denver Nuggets,University of Memphis,Southern Avenue Memphis TN 38152,35.1158539,-35.1158539
"Hernandez, Dewan",Toronto Raptors,University of Miami,University of Miami Coral Gables FL 33146,25.7178924,-25.7178924
"Brown, Bruce",Detroit Pistons,University of Miami,University of Miami Coral Gables FL 33146,25.7178924,-25.7178924
"Walker, Lonnie",San Antonio Spurs,University of Miami,University of Miami Coral Gables FL 33146,25.7178924,-25.7178924
"Crawford, Jamal  (FA)",Brooklyn Nets,University of Michigan-Ann Arbor,503 Thompson Street Ann Arbor MI 48109,42.2758739,-42.2758739
"LeVert, Caris",Brooklyn Nets,University of Michigan-Ann Arbor,503 Thompson Street Ann Arbor MI 48109,42.2758739,-42.2758739
"Brazdeikis, Ignas",New York Knicks,University of Michigan-Ann Arbor,503 Thompson Street Ann Arbor MI 48109,42.2758739,-42.2758739
"Robinson, Glenn",Philadelphia 76ers,University of Michigan-Ann Arbor,503 Thompson Street Ann Arbor MI 48109,42.2758739,-42.2758739
"Wilson, D. J.",Milwaukee Bucks,University of Michigan-Ann Arbor,503 Thompson Street Ann Arbor MI 48109,42.2758739,-42.2758739
"Robinson, Duncan",Miami Heat,University of Michigan-Ann Arbor,503 Thompson Street Ann Arbor MI 48109,42.2758739,-42.2758739
